year,Honduras,ElSalvador,Guatemala
1995,1059476425,653717635,1775927700
1996,1062092756,630203064,1690281099
1997,1194659215,783932225,1919794708
1998,1381877571,719600396,1960477878
1999,871538230,597868359,1834014221
2000,997816471,653369476,1866014304
2001,1045694366,551304508,1809349212
2002,942554685,539684627,1771499531
2003,989398758,598083968,1929370582
2004,1149496646,616156034,2029497008
2005,1329260136,818771555,2425709768
2006,1328715806,859290335,2491958415
2007,1564974594,1197006830,3109095084
2008,1793155401,1409351424,3632231481
2009,1624338113,1162537853,3671960080
2010,1731282477,1190896230,4094256511
2011,2687662000,1741756083,4907631241
2012,2834924518,1523055189,5124716512
2013,2474713825,1544899306,5206106521
2014,2725884219,1302818236,5232765036
2015,2537769786,1386158037,5376111755
2016,2900067484,1291849878,5500960565
2017,3310278207,1456060013,6022140152
2018,3247701823,1398387541,5987612274
2019,3286960329,1439357153,6242849830
2020,2615615622,1433757683,6728272151